year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2010,baseball,boys,Overall,Saint Mark's,Matt Smith,A.I. du Pont,5,1,,
2009,baseball,boys,Overall,Saint Mark's,Matt Smith,Sussex Central,13,4,,
2008,baseball,boys,Overall,Salesianum,Doug Nowell,Middletown,6,0,,
2007,baseball,boys,Overall,Saint Mark's,Matt Smith,Caravel,4,2,,
2006,baseball,boys,Overall,Caravel,Paul Niggebrugge,William Penn,2,1,,
2005,baseball,boys,Overall,Saint Mark's,Matt Smith,Dickinson,7,0,,
2004,baseball,boys,Overall,Saint Mark's,Matt Smith,Newark,7,0,,
2003,baseball,boys,Overall,Saint Mark's,Matt Smith,Newark,10,8,,
2002,baseball,boys,Overall,Brandywine,Larry Wheeler,Caravel,11,5,,
2001,baseball,boys,Overall,Salesianum,Dennis Walker,Brandywine,4,2,,
2000,baseball,boys,Overall,Mount Pleasant,Rob Limmina,Saint Mark's,7,1,,
1999,baseball,boys,Overall,Saint Mark's,Matt Smith,Seaford,8,2,,
1998,baseball,boys,Overall,Caravel,Paul Niggebrugge,Dickinson,8,7,,
1997,baseball,boys,Overall,Saint Mark's,Tom Lemon,Brandywine,6,3,,
1996,baseball,boys,Overall,Newark,Curt Bedford,Saint Mark's,11,2,,
1995,baseball,boys,Overall,Salesianum,Dennis Walker,William Penn,8,0,,
1994,baseball,boys,Overall,Saint Mark's,Tom Lemon,Caesar Rodney,4,0,,
1993,baseball,boys,Overall,Seaford,Tom Pegelow,Salesianum,11,4,,
1992,baseball,boys,Overall,Salesianum,Dennis Walker,Seaford,5,0,,
1991,baseball,boys,Overall,William Penn,Mel Gardner,Saint Mark's,7,3,,
1990,baseball,boys,Overall,Newark,Harry Davies,Seaford,4,3,,
1989,baseball,boys,Overall,Sussex Central,Woody Long,William Penn,7,0,,
1988,baseball,boys,Overall,Saint Mark's,Tom Lemon,Salesianum,9,2,,
1987,baseball,boys,Overall,Tower Hill,Steve Hyde,Saint Mark's,6,5,,
1986,baseball,boys,Overall,Seaford,Ron Dickerson,Saint Mark's,9,6,,
1985,baseball,boys,Overall,Saint Mark's,Tom Lemon,Salesianum,7,1,,
1984,baseball,boys,Overall,Newark,Fran Fulgham,William Penn,5,3,,
1983,baseball,boys,Overall,Seaford,Ron Dickerson,Caesar Rodney,2,0,,
1982,baseball,boys,Overall,Concord,Jim Thompson,Brandywine,2,0,,
1981,baseball,boys,Overall,Concord,Jim Thompson,Caesar Rodney,5,4,,
1980,baseball,boys,Overall,Seaford,Len Chasanov,Middletown,4,1,,
1979,baseball,boys,Overall,Salesianum,Rev. Robert Kenney,Middletown,4,2,,
1978,baseball,boys,Overall,William Penn,Dave Taylor,Newark,4,2,,
1977,baseball,boys,Overall,William Penn,Dave Taylor,Salesianum,6,4,,
1976,baseball,boys,Overall,Salesianum,Rev. Robert Kenney,Claymont,6,1,,
1975,baseball,boys,Overall,Caesar Rodney,Joe Vrudny,Claymont,7,2,,
1974,baseball,boys,Overall,Newark,Fran Fulgham,Dickinson,3,0,,
1973,baseball,boys,Overall,Claymont,Larry Wheeler,Dover,12,4,,
1972,baseball,boys,Overall,Dover,Larry Ginsburg,Conrad,7,1,,
1971,baseball,boys,Overall,Newark,Fran Fulgham,Conrad,6,4,,
1970,baseball,boys,Overall,Newark,Fran Fulgham,Lake Forest,1,0,,
2025,softball,girls,Overall,Caravel,Randy Johnson,Sussex Tech,3,2,,
2024,softball,girls,Overall,Caravel,Randy Johnson,Sussex Central,2,0,,
2023,softball,girls,Overall,Caravel,Randy Johnson,Indian River,7,0,,
2022,softball,girls,Overall,Caravel,Randy Johnson,Sussex Central,8,7,,
2021,softball,girls,Overall,Caravel,Randy Johnson,Sussex Central,1,0,11,
2020,softball,girls,Overall,,,,,,,
2019,softball,girls,Overall,Smyrna,Nicki Shirey,Caravel,1,0,,
2018,softball,girls,Overall,Smyrna,Nicki Shirey,Appoquinimink,16,7,,
2017,softball,girls,Overall,Milford,Sean Brennan,Delmar,17,9,,
2016,softball,girls,Overall,Caravel,Tony Peterson,Sussex Tech,2,1,,
2015,softball,girls,Overall,Polytech,Jennifer Bradshaw,Caravel,20,0,,
2014,softball,girls,Overall,Laurel,Jodi Green,Caravel,3,0,,
2013,softball,girls,Overall,Laurel,Jodi Green,Polytech,3,0,,
2012,softball,girls,Overall,Sussex Tech,John Marvel,Caravel,5,4,,
2011,softball,girls,Overall,Caravel,Randy Johnson,Smyrna,4,2,,
2010,softball,girls,Overall,Caravel,Randy Johnson,Milford,6,2,,
2009,softball,girls,Overall,Milford,Charlie Darling,Caravel,2,0,8,
2008,softball,girls,Overall,Sussex Central,John Wells,Caravel,4,0,,
2007,softball,girls,Overall,Sussex Tech,John Marvel,Caravel,6,0,,
2006,softball,girls,Overall,Caravel,Tim Wampler,Sussex Central,2,0,,
2005,softball,girls,Overall,Sussex Central,John Wells,Caravel,2,1,,
2004,softball,girls,Overall,Caravel,Tim Wampler,Cape Henlopen,1,0,,
2003,softball,girls,Overall,Caesar Rodney,Pat Shields,Caravel,4,3,,
2002,softball,girls,Overall,Caravel,Skip Homiak,Smyrna,3,2,,
2001,softball,girls,Overall,Caravel,Steve Baker,Saint Mark's,4,3,,
2000,softball,girls,Overall,Caravel,Steve Baker,William Penn,4,0,,
1999,softball,girls,Overall,Caravel,Steve Baker,Sussex Central,1,0,,
1998,softball,girls,Overall,Indian River,Steve Botchie,Saint Mark's,2,0,,
1997,softball,girls,Overall,Saint Mark's,Guy Townsend,Brandywine,3,0,,
1996,softball,girls,Overall,Brandywine,Sandy Kupchick,Sussex Central,2,1,,
1995,softball,girls,Overall,Sussex Central,John Wells,Saint Mark's,3,1,,
1994,softball,girls,Overall,Padua,Jerry Grasso,Smyrna,11,1,,
1993,softball,girls,Overall,Smyrna,Jo Carter,Glasgow,5,2,,
1992,softball,girls,Overall,Wilmington Christian,David Thompson,Glasgow,3,1,,
1991,softball,girls,Overall,Caravel,Steve Baker,St. Elizabeth,10,0,,
1990,softball,girls,Overall,Archmere,Paul Pomeroy,William Penn,5,0,,
1989,softball,girls,Overall,William Penn,Roe Bianchini,Laurel,3,0,,
