year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2017,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,356,303,,
2016,swimming and diving,boys,Overall,Charter of Wilmington,Cindy Millison,Salesianum,294,277.5,,
2015,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,368,291,,
2014,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,356,347,,
2013,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,407,325,,
2012,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,362,334,,
2011,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,302,265.5,,
2010,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,439,239,,
2009,swimming and diving,boys,Overall,Salesianum,Chip Hannig,A.I. du Pont,358,278,,
2008,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,437,276,,
2007,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,397,296,,
2006,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Newark,335,273.5,,
2005,swimming and diving,boys,Overall,Newark,Clint Orem,Salesianum,263.5,234,,
2004,swimming and diving,boys,Overall,Salesianum,Chip Hannig,McKean,317,303,,
2003,swimming and diving,boys,Overall,Salesianum,Chip Hannig,McKean,320,253,,
2002,swimming and diving,boys,Overall,Salesianum,Chip Hannig,McKean,416,250,,
2001,swimming and diving,boys,Overall,Salesianum,Chip Hannig,McKean,533,229,,
2000,swimming and diving,boys,Overall,Salesianum,Rich Lynch,Archmere,481.5,255,,
1999,swimming and diving,boys,Overall,Salesianum,Rich Lynch,McKean,440,268,,
1998,swimming and diving,boys,Overall,McKean,Glenn Moore,Salesianum,347.5,312,,
1997,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,McKean,315,313.5,,
1996,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,442,256,,
1995,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,Saint Mark's,109,89,,
1994,swimming and diving,boys,Overall,A.I. du Pont,John Lowe,Salesianum,103,94,,
1993,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,129,104,,
1992,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,118,110,,
1991,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,127.5,98,,
1990,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,133,66,,
1989,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,135,105,,
1988,swimming and diving,boys,Overall,Salesianum,Dwin Bohn,A.I. du Pont,124,106,,
1987,swimming and diving,boys,Overall,A.I. du Pont,Mike Wollaston,Salesianum,118,117,,
1986,swimming and diving,boys,Overall,A.I. du Pont,Mike Wollaston,Salesianum,102,88,,
1985,swimming and diving,boys,Overall,Mount Pleasant,Kaye Dunlap,Salesianum,109,93,,
1984,swimming and diving,boys,Overall,Salesianum,Gerald Dunne,A.I. du Pont,101.5,83,,
1983,swimming and diving,boys,Overall,Salesianum,Gerald Dunne,Newark,106,75,,
1982,swimming and diving,boys,Overall,Concord,Ken Horne,Salesianum,94,83,,
1981,swimming and diving,boys,Overall,Salesianum,Gerald Dunne,Newark,125,81,,
1980,swimming and diving,boys,Overall,Mount Pleasant,Robert France,Salesianum,112,100,,
1979,swimming and diving,boys,Overall,Mount Pleasant,Robert France,,140,,,
1978,swimming and diving,boys,Overall,Mount Pleasant,Robert France,Brandywine,133,69,,
1977,swimming and diving,boys,Overall,Concord,Tom Fagley,Mount Pleasant,101,90,,
1976,swimming and diving,boys,Overall,Salesianum,Frank Dugan,Brandywine,117,69,,
1975,swimming and diving,boys,Overall,Salesianum,Frank Dugan,Brandywine,130,101,,
1974,swimming and diving,boys,Overall,Salesianum,Frank Dugan,Brandywine,132.5,108.5,,
1973,swimming and diving,boys,Overall,Salesianum,Frank Dugan,Claymont,96,51,,
1972,swimming and diving,boys,Overall,Concord,Gary Boom,,65.5,,,
1971,swimming and diving,boys,Overall,Mount Pleasant,Lee Eldredge,,29,,,
1970,swimming and diving,boys,Overall,Mount Pleasant,Lee Eldredge,Concord,36,32,,
2025,swimming and diving,girls,Overall,Ursuline,Kelly Ellis,Charter of Wilmington,341,245,,
2024,swimming and diving,girls,Overall,Ursuline,Kelly Ellis,Charter of Wilmington,357.5,262,,
2023,swimming and diving,girls,Overall,Ursuline,Kelly Ellis,Charter of Wilmington,298,292,,
2022,swimming and diving,girls,Overall,Tower Hill,Sharon Reynolds,Charter of Wilmington,281,275.5,,
2021,swimming and diving,girls,Overall,Tower Hill,Sharon Reynolds,Ursuline,264,209.5,,
2020,swimming and diving,girls,Overall,Tower Hill,Sharon Reynolds,Newark Charter,234,225,,
2019,swimming and diving,girls,Overall,Newark Charter,Kurtis Wittman,Padua,284,229.5,,
2018,swimming and diving,girls,Overall,Newark Charter,Kurtis Wittman,Ursuline,270.5,248,,
2017,swimming and diving,girls,Overall,Ursuline,Kelly Ellis,Newark Charter,276,229,,
2016,swimming and diving,girls,Overall,Ursuline,Kelly Ellis,Charter of Wilmington,326,228.5,,
2015,swimming and diving,girls,Overall,Charter of Wilmington,Cindy Millison,Ursuline,330.5,273,,
2014,swimming and diving,girls,Overall,Charter of Wilmington,Cindy Millison,Ursuline,374,224,,
2013,swimming and diving,girls,Overall,Charter of Wilmington,Cindy Millison,Saint Mark's,349.5,240,,
2012,swimming and diving,girls,Overall,Charter of Wilmington,Chris Dohl,Saint Mark's,347,306,,
2011,swimming and diving,girls,Overall,Charter of Wilmington,Chris Dohl,Saint Mark's,365,289,,
2010,swimming and diving,girls,Overall,Charter of Wilmington,Chris Dohl,Padua,372,241,,
2009,swimming and diving,girls,Overall,Charter of Wilmington,Chris Dohl,Tatnall,307.5,252,,
2008,swimming and diving,girls,Overall,Charter of Wilmington,Chris Dohl,Tatnall,345,267,,
2007,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Charter of Wilmington,350,313,,
2006,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Charter of Wilmington,396,298.5,,
2005,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Charter of Wilmington,360,300,,
2004,swimming and diving,girls,Overall,Newark,M.J. Polaski,Saint Mark's,335,319,,
2003,swimming and diving,girls,Overall,Newark,M.J. Polaski,Ursuline,283,265,,
2002,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Newark,345,266.5,,
2001,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Newark,406,284,,
2000,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,St. Andrew's,449,197,,
1999,swimming and diving,girls,Overall,Saint Mark's,Rob Maegerle,Newark,407,311,,
1998,swimming and diving,girls,Overall,Saint Mark's,Mike Ramone,Newark,350,229,,
1997,swimming and diving,girls,Overall,Saint Mark's,Mike Ramone,Newark,397,233,,
1996,swimming and diving,girls,Overall,Saint Mark's,Mike Ramone,Brandywine,429.5,208,,
1995,swimming and diving,girls,Overall,Saint Mark's,Mike Ramone,Padua,112,80,,
1994,swimming and diving,girls,Overall,Saint Mark's,Mike Ramone,Newark,100,82.5,,
1993,swimming and diving,girls,Overall,Padua,Cheryl Luebbert,Newark,87,83,,
1992,swimming and diving,girls,Overall,Newark,Chris Collier,A.I. du Pont,136,108,,
1991,swimming and diving,girls,Overall,A.I. du Pont,Rich Roat,Newark,141,115,,
1990,swimming and diving,girls,Overall,Newark,Chris Collier,A.I. du Pont,131,113,,
1989,swimming and diving,girls,Overall,Newark,Chris Collier,A.I. du Pont,125,122,,
1988,swimming and diving,girls,Overall,A.I. du Pont,Mike Wollaston,Newark,89,72,,
1987,swimming and diving,girls,Overall,Ursuline,Gail Glynn,Brandywine,85,73,,
1986,swimming and diving,girls,Overall,Ursuline,Gail Glynn,Newark,112,85,,
1985,swimming and diving,girls,Overall,Ursuline,Gail Glynn,Newark,122,62,,
1984,swimming and diving,girls,Overall,Ursuline,Gail Glynn,Newark,128.5,65,,
1983,swimming and diving,girls,Overall,Ursuline,Gail Glynn,Newark,98,84,,
1982,swimming and diving,girls,Overall,Mount Pleasant,Dave Menser,Saint Mark's,80,77,,
1981,swimming and diving,girls,Overall,Newark,Marie Kuss,Saint Mark's,95,94,,
1980,swimming and diving,girls,Overall,Newark,Marie Kuss,Saint Mark's,95,73,,
1979,swimming and diving,girls,Overall,Newark,Marie Kuss,Concord,110,88,,
1978,swimming and diving,girls,Overall,Newark,Marie Kuss,Brandywine,101,97,,
1977,swimming and diving,girls,Overall,Mount Pleasant,Bob France,Concord,130,90,,
1976,swimming and diving,girls,Overall,Concord,Carol Wood,Brandywine,99,91,,
1975,swimming and diving,girls,Overall,Concord,Carol Wood,Brandywine,82,49,,
2025,wrestling,boys,Division I,Salesianum,Cameron Davis,Sussex Central,43,28,,
2024,wrestling,boys,Division I,Sussex Central,Shane Miller,Cape Henlopen,36,34,,
2023,wrestling,boys,Division I,Salesianum,Cameron Davis,Cape Henlopen,36,27,,
2022,wrestling,boys,Division I,Cape Henlopen,Chris Mattioni,Caesar Rodney,43,26,,
2021,wrestling,boys,Division I,,,,,,,
2020,wrestling,boys,Division I,Smyrna,Aaron Harris,Milford,36,34,,
2019,wrestling,boys,Division I,Smyrna,Aaron Harris,Caesar Rodney,35,33,,
2018,wrestling,boys,Division I,Caesar Rodney,Dan Rigby,Smyrna,30,29,,
2017,wrestling,boys,Division I,Sussex Central,Phil Shultie,Smyrna,32,30,,
2016,wrestling,boys,Division I,Smyrna,Kurt Howell,Sussex Central,50,15,,
2015,wrestling,boys,Division I,Smyrna,Kurt Howell,Polytech,34,22,,
2014,wrestling,boys,Division I,Smyrna,Kurt Howell,Caesar Rodney,43,17,,
2013,wrestling,boys,Division I,Smyrna,Kurt Howell,Caesar Rodney,36,24,,
2012,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Smyrna,32,24,,
2011,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,36,24,,
2010,wrestling,boys,Division I,Saint Mark's,Jason Bastianelli,Sussex Central,39,23,,
2009,wrestling,boys,Division I,Saint Mark's,Jason Bastianelli,Caesar Rodney,44,15,,
2008,wrestling,boys,Division I,Sussex Central,Phil Shultie,William Penn,33,24,,
2007,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,44,12,,
2006,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,38,15,,
2005,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,52,10,,
2004,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,41,16,,
2003,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,25,23,,
2002,wrestling,boys,Division I,Saint Mark's,Steve Bastianelli,Caesar Rodney,36,24,,
2001,wrestling,boys,Division I,Caesar Rodney,Dicky Howell,Saint Mark's,31,27,,
2000,wrestling,boys,Division I,William Penn,Jack Holloway,Saint Mark's,25,23,,
1999,wrestling,boys,Division I,Saint Mark's,Steve Bastianelli,Sussex Central,30,21,,
1998,wrestling,boys,Division I,Saint Mark's,Steve Bastianelli,Caesar Rodney,48,15,,
1997,wrestling,boys,Division I,Saint Mark's,Steve Bastianelli,Caesar Rodney,43,12,,
1996,wrestling,boys,Division I,William Penn,Jack Holloway,Saint Mark's,33,20,,
1995,wrestling,boys,Division I,Saint Mark's,Steve Bastianelli,Sussex Central,46,19,,
1994,wrestling,boys,Division I,William Penn,Jack Holloway,Dover,39,9,,
1993,wrestling,boys,Division I,William Penn,Jack Holloway,Dover,40,17,,
2025,wrestling,boys,Division II,Delaware Military Academy,L.A. Collier,Saint Mark's,42,24,,
2024,wrestling,boys,Division II,Delaware Military Academy,L.A. Collier,Saint Mark's,38,32,,
2023,wrestling,boys,Division II,Delaware Military Academy,L.A. Collier,Caravel,36,24,,
2022,wrestling,boys,Division II,Caravel,Mike Welch,Delaware Military Academy,52,15,,
2021,wrestling,boys,Division II,,,,,,,
2020,wrestling,boys,Division II,Caravel,Mike Welch,Woodbridge,57,7,,
2019,wrestling,boys,Division II,Milford,Don Parsley,Caravel,37,30,,
2018,wrestling,boys,Division II,Milford,Don Parsley,Laurel,38,29,,
2017,wrestling,boys,Division II,Milford,Don Parsley,Indian River,32,30,,
2016,wrestling,boys,Division II,Milford,Don Parsley,St. Georges,57,24,,
2015,wrestling,boys,Division II,Milford,Dan Rigby,Sanford,36,24,,
2014,wrestling,boys,Division II,Milford,Dan Rigby,St. Georges,42,20,,
2013,wrestling,boys,Division II,St. Georges,Nate Pellegrini,Polytech,35,22,,
2012,wrestling,boys,Division II,Polytech,Dan Boone,St. Georges,36,26,,
2011,wrestling,boys,Division II,Caravel,Mike Welch,Indian River,44,34,,
2010,wrestling,boys,Division II,Hodgson,Dave Williams,Caravel,35,34,,
2009,wrestling,boys,Division II,Milford,Don Parsley,Hodgson,37,33,,
2008,wrestling,boys,Division II,Hodgson,L.A. Collier,Indian River,37,30,,
2007,wrestling,boys,Division II,Hodgson,Stan Spoor,Smyrna,38,24,,
2006,wrestling,boys,Division II,Hodgson,Stan Spoor,Caravel,36,32,,
2005,wrestling,boys,Division II,Smyrna,Kurt Howell,Hodgson,52,6,,
2004,wrestling,boys,Division II,Milford,Don Parsley,Smyrna,42,25,,
2003,wrestling,boys,Division II,Smyrna,Clay Lloyd,Laurel,37,31,,
2002,wrestling,boys,Division II,Hodgson,Jerry Lamey,Smyrna,42,18,,
2001,wrestling,boys,Division II,Hodgson,Jerry Lamey,Lake Forest,45,18,,
2000,wrestling,boys,Division II,Hodgson,Jerry Lamey,Milford,44,16,,
1999,wrestling,boys,Division II,Hodgson,Jerry Lamey,Milford,44,11,,
1998,wrestling,boys,Division II,Hodgson,Jerry Lamey,Smyrna,53,15,,
1997,wrestling,boys,Division II,Hodgson,Jerry Lamey,Smyrna,41,20,,
1996,wrestling,boys,Division II,Smyrna,Mike Dulin,Hodgson,35,28,,
1995,wrestling,boys,Division II,A.I. du Pont,George Lacsny,Smyrna,36,19,,
1994,wrestling,boys,Division II,Smyrna,Mike Dulin,Hodgson,47,10,,
1993,wrestling,boys,Division II,Smyrna,Mike Dulin,Middletown,45,7,,
1992,wrestling,boys,Overall,Saint Mark's,Steve Bastianelli,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1991,wrestling,boys,Overall,Saint Mark's,Steve Bastianelli,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1990,wrestling,boys,Overall,William Penn,Jack Holloway,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1989,wrestling,boys,Overall,William Penn,Jack Holloway,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1988,wrestling,boys,Overall,Saint Mark's,Steve Bastianelli,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1987,wrestling,boys,Overall,Saint Mark's,Steve Bastianelli,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1986,wrestling,boys,Overall,Saint Mark's,Steve Bastianelli,Salesianum,,,Determined by points earned during the individual wrestling tournament.,
1985,wrestling,boys,Overall,Caesar Rodney,Tom Leonard,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1984,wrestling,boys,Overall,Salesianum,John Rusnak,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1983,wrestling,boys,Overall,William Penn,Jack Holloway,Caesar Rodney,,,Determined by points earned during the individual wrestling tournament.,
1982,wrestling,boys,Overall,Caesar Rodney,Tom Leonard,Smyrna,,,Determined by points earned during the individual wrestling tournament.,
1981,wrestling,boys,Overall,Milford,Roy Rigby,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1980,wrestling,boys,Overall,Milford,Roy Rigby,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1979,wrestling,boys,Overall,Caesar Rodney,Pete Basile,Milford,,,Determined by points earned during the individual wrestling tournament.,
1978,wrestling,boys,Overall,Caesar Rodney,Pete Basile,Saint Mark's,,,Determined by points earned during the individual wrestling tournament.,
1977,wrestling,boys,Overall,A.I. du Pont,George Lacsny,Delcastle,,,Determined by points earned during the individual wrestling tournament.,
1976,wrestling,boys,Overall,St. Andrew's,Dennis Madigan,Salesianum,,,Determined by points earned during the individual wrestling tournament.,
1975,wrestling,boys,Overall,Caesar Rodney,Pete Basile,St. Andrew's,,,Determined by points earned during the individual wrestling tournament.,
1960,wrestling,boys,Overall,St. Andrew's,Webb Reyner,Brandywine,,,Determined by points earned during the individual wrestling tournament.,
1959,wrestling,boys,Overall,St. Andrew's,Webb Reyner,Milford,,,Determined by points earned during the individual wrestling tournament.,
1958,wrestling,boys,Overall,St. Andrew's,William Cameron,William Penn,,,Determined by points earned during the individual wrestling tournament.,
1957,wrestling,boys,Overall,St. Andrew's,William Cameron,William Penn,,,Determined by points earned during the individual wrestling tournament.,
2025,outdoor track and field,boys,Division I,Middletown,Yvenel Sainsume,Cape Henlopen,108,106,,
2024,outdoor track and field,boys,Division I,Salesianum,Tim Byrne,Cape Henlopen,111,86,,
2023,outdoor track and field,boys,Division I,Salesianum,Tim Byrne,Cape Henlopen,124,69,,
2022,outdoor track and field,boys,Division I,Salesianum,Tim Byrne,Polytech,170,72,,
2021,outdoor track and field,boys,Division I,Salesianum,Tim Byrne,Smyrna,160,98,,
2020,outdoor track and field,boys,Division I,,,,,,,
2019,outdoor track and field,boys,Division I,Salesianum,Tim Byrne,Sussex Central,95,89,,
2018,outdoor track and field,boys,Division I,Dover,Jim Solomon,Salesianum,122,97.5,,
2017,outdoor track and field,boys,Division I,Dover,Jim Solomon,Salesianum,121,90,,
2016,outdoor track and field,boys,Division I,Salesianum,Joe Gioffre,Dover,107.75,80.75,,
2015,outdoor track and field,boys,Division I,Dover,Jim Solomon,William Penn,127,81,,
2014,outdoor track and field,boys,Division I,Caesar Rodney,Mike Tucci,Dover,92,82,,
2013,outdoor track and field,boys,Division I,Caesar Rodney,Chris Hurd,Dover,107.5,98,,
2012,outdoor track and field,boys,Division I,Salesianum,Mike LoSapio,Caesar Rodney,113,107,,
2011,outdoor track and field,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,94,81,,
2010,outdoor track and field,boys,Division I,A.I. du Pont,Steve Lantz,Charter of Wilmington,85,83,,
2009,outdoor track and field,boys,Division I,Christiana,David Jones,Newark,100,78,,
2008,outdoor track and field,boys,Division I,Glasgow,Alan Duncan,Dover & Caesar Rodney,88,70.33,,
2007,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Saint Mark's,122,114,,
2006,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Dover,101,95.5,,
2005,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Newark,110,109,,
2004,outdoor track and field,boys,Division I,Dover,Jim Solomon,Newark,94,86,,
2003,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Dover,101,96,,
2002,outdoor track and field,boys,Division I,William Penn,Jim Hopkins,Salesianum,110,105,,
2001,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Dover,97,77,,
2000,outdoor track and field,boys,Division I,Christiana,David Jones,Salesianum,98.5,92,,
1999,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,William Penn,128,99,,
1998,outdoor track and field,boys,Division I,Glasgow,Marvin Spence,Dover,160,94,,
1997,outdoor track and field,boys,Division I,Glasgow,Marvin Spence,William Penn,118,76,,
1996,outdoor track and field,boys,Division I,William Penn,Kevin Kelly,Delcastle,96,62,,
1995,outdoor track and field,boys,Division I,Dover,Duane Henry,Newark,94,90,,
1994,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Glasgow,126,111.5,,
1993,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,Delcastle,110.5,79,,
1992,outdoor track and field,boys,Division I,William Penn,Kevin Kelly,Delcastle,128,75,,
1991,outdoor track and field,boys,Division I,Salesianum,Ralph Heiss,William Penn,99,86,,
1990,outdoor track and field,boys,Division I,Delcastle,Ernie Anderson,Dover,132,73,,
1989,outdoor track and field,boys,Division I,Delcastle,Ernie Anderson,Salesianum,146,71,,
1988,outdoor track and field,boys,Division I,Delcastle,Ernie Anderson,Caesar Rodney,138,76,,
1987,outdoor track and field,boys,Division I,Howard,Whelton Miller,Delcastle,89,80,,
1986,outdoor track and field,boys,Division I,Cape Henlopen,Bill Degnan,Delcastle,99,91,,
1985,outdoor track and field,boys,Division I,Delcastle,Ernie Anderson,Dover,150,78,,
1984,outdoor track and field,boys,Division I,Howard,Bob King,Cape Henlopen,88,66,,
1983,outdoor track and field,boys,Division I,Dickinson,Spencer Henry,William Penn,111,85,,
1982,outdoor track and field,boys,Division I,William Penn,Phil Hershey,Dover,69,68.5,,
1981,outdoor track and field,boys,Division I,William Penn,Phil Hershey,Salesianum,92,82.5,,
1980,outdoor track and field,boys,Division I,Dover,Bob Neylan,William Penn,126,108,,
1979,outdoor track and field,boys,Division I,William Penn,Phil Hershey,Salesianum,114,85,,
1978,outdoor track and field,boys,Division I,Wilmington,Spencer Henry,Salesianum,107,71,,
1977,outdoor track and field,boys,Division I,Wilmington (North) & Dover (South),Spencer Henry & Bob Neylan,Mount Pleasant (North) & Christiana (South),,,,
1976,outdoor track and field,boys,Division I,Dover,Bob Neylan,Milford,101,61.5,,
1975,outdoor track and field,boys,Division I,Dover,Bob Neylan,Salesianum,97,96,,
1974,outdoor track and field,boys,Division I,Salesianum,Rev. Joseph Beattie,Wilmington,40,37,,
1973,outdoor track and field,boys,Division I,Salesianum,Rev. Joseph Beattie,Mount Pleasant,51.5,37,,
1972,outdoor track and field,boys,Division I,Salesianum,Rev. Joseph Beattie,De La Warr,45,27,,
1971,outdoor track and field,boys,Division I,Salesianum,Rev. Joseph Beattie,Newark,58,43,,
1970,outdoor track and field,boys,Division I,Mount Pleasant,Bill Crowther,Seaford,39,38.5,,

